Part No,Lot No,Sample,Panel ID,Criterion internal,Criterion CofC,Position,PTH,Measuring point,Measuring value,LSL,USL,LCL,UCL,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 2,PTH 1,M 5,18.45,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 2,PTH 1,M 6,19.11,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 3,PTH 1,M 1,19.44,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 3,PTH 1,M 2,19.44,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 3,PTH 1,M 3,17.79,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 3,PTH 1,M 4,19.11,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 3,PTH 1,M 5,19.44,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 3,PTH 1,M 6,17.79,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 4,PTH 1,M 1,20.10,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 4,PTH 1,M 2,15.16,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 4,PTH 1,M 3,18.45,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 4,PTH 1,M 4,18.78,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 4,PTH 1,M 5,17.13,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 4,PTH 1,M 6,17.13,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 5,PTH 1,M 1,20.10,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 5,PTH 1,M 2,17.79,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 5,PTH 1,M 3,22.08,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 5,PTH 1,M 4,19.44,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 5,PTH 1,M 5,17.13,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 5,PTH 1,M 6,20.43,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 1,PTH 2,M 1,16.80,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 1,PTH 2,M 2,15.82,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 1,PTH 2,M 3,16.80,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 1,PTH 2,M 4,15.49,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 1,PTH 2,M 5,14.50,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 1,PTH 2,M 6,17.46,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 2,PTH 2,M 1,19.77,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 2,PTH 2,M 2,19.44,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 2,PTH 2,M 3,17.79,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 2,PTH 2,M 4,17.46,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 2,PTH 2,M 5,16.80,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 2,PTH 2,M 6,19.11,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 3,PTH 2,M 1,19.44,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 3,PTH 2,M 2,19.11,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 3,PTH 2,M 3,17.13,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 3,PTH 2,M 4,18.12,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 3,PTH 2,M 5,18.12,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 3,PTH 2,M 6,18.12,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 4,PTH 2,M 1,20.10,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 4,PTH 2,M 2,15.82,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 4,PTH 2,M 3,17.79,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke AMP,PTH wall thickness AMP,Pos 4,PTH 2,M 4,17.13,12,24,13.8,22.2,,
